Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/optimistic,811,654,230,1229.351427572134,25.53135600010137,8304.288144000111,52.41430332922318,13.790034001855163,11.120446655010205,230,900,2200,2600,3900,4700,6800,7400,8300,8300,8300
POST,/orders/pessimistic,2106,1064,140,289.50720982241444,9.690477000276587,2000.572345999899,51.566476733143396,35.809878678060386,18.091980490719966,140,270,410,490,780,1100,1500,1600,1900,2000,2000
GET,/stocks,272,0,160,168.39597644486435,8.390418000089994,512.2075420003966,125.68014705882354,4.625017569056232,0.0,160,200,220,230,300,350,390,490,510,510,510
,Aggregated,3189,1718,160,518.1906231545953,8.390418000089994,8304.288144000111,58.10348071495767,54.22493024897178,29.21242714573017,160,290,450,600,1400,2600,4200,5000,7600,8300,8300
