Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/optimistic,1442,913,630,1261.2048911927916,41.572511000140366,18044.120338000084,46.529126213592235,14.533331534023922,9.201755680002664,630,1000,1500,1700,2400,3100,4900,17000,18000,18000,18000
POST,/orders/pessimistic,2064,938,220,764.9947203502903,13.600316999827555,17291.888502000118,43.39098837209303,20.802216564650053,9.453720512423327,220,470,770,990,1700,2600,3700,15000,17000,17000,17000
GET,/stocks,379,0,83,212.5995057493395,7.384510000065347,15115.925994999998,126.19261213720317,3.819786859497272,0.0,83,120,140,170,260,390,940,1600,15000,15000,15000
,Aggregated,3885,1851,380,895.2848825178861,7.384510000065347,18044.120338000084,52.63346203346203,39.155334958171245,18.65547619242599,380,620,930,1200,2000,2700,4000,16000,18000,18000,18000
