Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/optimistic,493,263,1200,1980.6082981784994,163.44421599978887,16247.301250999953,44.37525354969574,9.17914073574001,4.896782988843047,1200,2000,2500,2800,3700,5400,11000,13000,16000,16000,16000
POST,/orders/pessimistic,741,297,530,1175.2933375465534,47.67605100005312,11848.927167999818,42.00269905533064,13.796639523698472,5.529827177514773,530,1000,1400,1700,3200,4400,6500,7600,12000,12000,12000
GET,/stocks,123,0,180,307.858591731714,16.07101700005842,2539.338219000001,126.40650406504065,2.2901304472535924,0.0,180,250,300,370,580,910,2000,2400,2500,2500,2500
,Aggregated,1357,560,800,1389.2401333139244,16.07101700005842,16247.301250999953,50.51510685335298,25.265910706692075,10.42661016635782,800,1200,1700,2200,3300,4700,6700,9700,16000,16000,16000
